    0.961422264575958252E+00    0.408454537391662598E-01   -0.438937131636035094E+00   -0.529831319988485294E+01    1
    0.978055834770202637E+00    0.824583768844604492E-01   -0.407439659120132802E+00   -0.530331319988484751E+01    1
    0.886398851871490479E+00    0.342808961868286133E-01   -0.382531839268404283E+00   -0.530831319988485095E+01    1
    0.997049093246459961E+00    0.479566097259521484E+00   -0.345381390150324707E+00   -0.531331319988484285E+01    1
    0.966555893421173096E+00    0.539581060409545898E+00   -0.335197888040231706E+00   -0.531831319988483830E+01    1
    0.846443891525268555E+00    0.404938459396362305E-01   -0.334387995017857709E+00   -0.532331319988484530E+01    1
    0.907579064369201660E+00    0.336869955062866211E+00   -0.324297871140915961E+00   -0.532831319988484609E+01    1
    0.803150236606597900E+00    0.157085776329040527E+00   -0.307371033344522593E+00   -0.533331319988484154E+01    1
    0.854040682315826416E+00    0.309553563594818115E+00   -0.281718093454723317E+00   -0.533831319988483788E+01    1
    0.907726824283599854E+00    0.381671667098999023E+00   -0.277861001014225728E+00   -0.534331319988483511E+01    1
    0.858133733272552490E+00    0.437170922756195068E+00   -0.275949407502358912E+00   -0.534831319988484299E+01    1
    0.989026546478271484E+00    0.216938912868499756E+00   -0.263535252368332473E+00   -0.535331319988485443E+01    1
    0.801588416099548340E+00    0.394944846630096436E+00   -0.255476602198123792E+00   -0.535831319988483568E+01    1
    0.788360536098480225E+00    0.159090757369995117E-01   -0.247388489304663312E+00   -0.536331319988484623E+01    1
    0.806217968463897705E+00    0.460717082023620605E+00   -0.245006416627821383E+00   -0.536831319988485056E+01    1
    0.854231655597686768E+00    0.118674576282501221E+00   -0.233047273174251196E+00   -0.537331319988484601E+01    1
    0.837661802768707275E+00    0.429889142513275146E+00   -0.224705799977950926E+00   -0.537831319988484857E+01    1
    0.888371050357818604E+00    0.705902516841888428E+00   -0.215662307814463605E+00   -0.538331319988484491E+01    1
    0.793076992034912109E+00    0.329221129417419434E+00   -0.206384857554162193E+00   -0.538831319988483948E+01    1
    0.693373560905456543E+00    0.929175615310668945E-01   -0.200863872161304247E+00   -0.539331319988484825E+01    1
    0.930259168148040771E+00    0.779344320297241211E+00   -0.198954388107121266E+00   -0.539831319988485436E+01    1
    0.808702647686004639E+00    0.159501552581787109E+00   -0.185369863219891740E+00   -0.540331319988484537E+01    1
